sample	samples	ENSG00000262814.6	_primary_site
GTEX-11TT1-1726-SM-5EQLJ	GTEX-11TT1-1726-SM-5EQLJ	6.747	Liver
GTEX-11TT1-0004-SM-5S2NT	GTEX-11TT1-0004-SM-5S2NT	6.746	Blood
GTEX-13PVQ-1726-SM-5IFF3	GTEX-13PVQ-1726-SM-5IFF3	6.746	Esophagus
GTEX-QEG4-0426-SM-33HC3	GTEX-QEG4-0426-SM-33HC3	6.743	Heart
GTEX-11I78-0226-SM-5HL6R	GTEX-11I78-0226-SM-5HL6R	6.742	Adipose Tissue
GTEX-WHWD-0003-SM-4M1ZS	GTEX-WHWD-0003-SM-4M1ZS	6.738	Blood
GTEX-ZPIC-0002-SM-4WWEC	GTEX-ZPIC-0002-SM-4WWEC	6.736	Blood
GTEX-Y5LM-0426-SM-4VBRO	GTEX-Y5LM-0426-SM-4VBRO	6.735	Liver
GTEX-11EMC-0002-SM-5Q5DO	GTEX-11EMC-0002-SM-5Q5DO	6.734	Blood
GTEX-WY7C-0526-SM-3NB3D	GTEX-WY7C-0526-SM-3NB3D	6.734	Heart
GTEX-139YR-0826-SM-5LZXY	GTEX-139YR-0826-SM-5LZXY	6.733	Heart
GTEX-XUZC-2126-SM-4BRW8	GTEX-XUZC-2126-SM-4BRW8	6.73	Muscle
GTEX-11ILO-0726-SM-5HL5I	GTEX-11ILO-0726-SM-5HL5I	6.728	Lung
GTEX-YB5E-0326-SM-5IFHU	GTEX-YB5E-0326-SM-5IFHU	6.723	Liver
GTEX-145LV-0326-SM-5Q5BW	GTEX-145LV-0326-SM-5Q5BW	6.719	Heart
GTEX-ZAK1-1126-SM-5PNXU	GTEX-ZAK1-1126-SM-5PNXU	6.719	Heart
GTEX-131XE-0626-SM-5HL98	GTEX-131XE-0626-SM-5HL98	6.717	Heart
GTEX-NPJ7-0006-SM-3GACR	GTEX-NPJ7-0006-SM-3GACR	6.716	Blood
GTEX-ZDTS-0001-SM-4WAXW	GTEX-ZDTS-0001-SM-4WAXW	6.715	Blood
GTEX-QEG4-1826-SM-4R1JN	GTEX-QEG4-1826-SM-4R1JN	6.714	Liver
GTEX-WY7C-0726-SM-4ONCB	GTEX-WY7C-0726-SM-4ONCB	6.713	Liver
GTEX-YB5K-0003-SM-4VDSN	GTEX-YB5K-0003-SM-4VDSN	6.712	Blood
GTEX-QXCU-0826-SM-2TC6F	GTEX-QXCU-0826-SM-2TC6F	6.712	Heart
GTEX-WHSB-0926-SM-4M1XJ	GTEX-WHSB-0926-SM-4M1XJ	6.705	Colon
GTEX-QEL4-0926-SM-3GAD1	GTEX-QEL4-0926-SM-3GAD1	6.705	Heart
GTEX-XBED-0003-SM-47JWP	GTEX-XBED-0003-SM-47JWP	6.703	Blood
GTEX-VUSG-0003-SM-3NMDK	GTEX-VUSG-0003-SM-3NMDK	6.702	Blood
GTEX-Y3IK-0001-SM-4WWE1	GTEX-Y3IK-0001-SM-4WWE1	6.702	Blood
GTEX-X62O-0826-SM-46MW8	GTEX-X62O-0826-SM-46MW8	6.7	Heart
GTEX-S32W-1926-SM-4AD63	GTEX-S32W-1926-SM-4AD63	6.698	Liver
GTEX-YFC4-1226-SM-5LU9R	GTEX-YFC4-1226-SM-5LU9R	6.697	Esophagus
GTEX-WHSE-0526-SM-4SOJ6	GTEX-WHSE-0526-SM-4SOJ6	6.693	Muscle
GTEX-YF7O-1726-SM-5IFJ9	GTEX-YF7O-1726-SM-5IFJ9	6.691	Colon
GTEX-X4EP-1026-SM-4QAS5	GTEX-X4EP-1026-SM-4QAS5	6.689	Liver
GTEX-XLM4-0004-SM-4AT5I	GTEX-XLM4-0004-SM-4AT5I	6.689	Blood
GTEX-Y114-0226-SM-4TT8W	GTEX-Y114-0226-SM-4TT8W	6.688	Heart
GTEX-O5YT-0826-SM-3TW8N	GTEX-O5YT-0826-SM-3TW8N	6.687	Liver
GTEX-ZTX8-0226-SM-5E44D	GTEX-ZTX8-0226-SM-5E44D	6.687	Esophagus
GTEX-13PL6-0326-SM-5IJCP	GTEX-13PL6-0326-SM-5IJCP	6.687	Muscle
GTEX-WH7G-0426-SM-3NMBJ	GTEX-WH7G-0426-SM-3NMBJ	6.686	Heart
GTEX-ZQG8-2226-SM-5DUWD	GTEX-ZQG8-2226-SM-5DUWD	6.683	Esophagus
GTEX-WQUQ-1426-SM-3MJFD	GTEX-WQUQ-1426-SM-3MJFD	6.683	Heart
GTEX-WFON-0001-SM-3P61W	GTEX-WFON-0001-SM-3P61W	6.681	Blood
GTEX-ZEX8-0004-SM-4WKFQ	GTEX-ZEX8-0004-SM-4WKFQ	6.679	Blood
GTEX-13O1R-2326-SM-5IJF9	GTEX-13O1R-2326-SM-5IJF9	6.679	Adrenal Gland
GTEX-13W3W-0526-SM-5LU3X	GTEX-13W3W-0526-SM-5LU3X	6.679	Heart
GTEX-WHWD-0426-SM-3LK83	GTEX-WHWD-0426-SM-3LK83	6.679	Heart
GTEX-WYVS-0004-SM-4ONDT	GTEX-WYVS-0004-SM-4ONDT	6.677	Blood
GTEX-R55E-1326-SM-48FCR	GTEX-R55E-1326-SM-48FCR	6.677	Esophagus
GTEX-13O1R-1226-SM-5J1NU	GTEX-13O1R-1226-SM-5J1NU	6.674	Heart
GTEX-11VI4-0001-SM-5S2OI	GTEX-11VI4-0001-SM-5S2OI	6.673	Blood
K-562-SM-4IHK7	K-562-SM-4IHK7	6.671	Bone Marrow
GTEX-WWTW-0626-SM-4MVNS	GTEX-WWTW-0626-SM-4MVNS	6.671	Muscle
GTEX-ZT9W-0003-SM-4YCE6	GTEX-ZT9W-0003-SM-4YCE6	6.669	Blood
GTEX-N7MS-0826-SM-2HML4	GTEX-N7MS-0826-SM-2HML4	6.664	Heart
GTEX-Y5V6-0003-SM-4V6FX	GTEX-Y5V6-0003-SM-4V6FX	6.663	Blood
GTEX-PWOO-1326-SM-48TCJ	GTEX-PWOO-1326-SM-48TCJ	6.661	Colon
GTEX-XOT4-1126-SM-4B66E	GTEX-XOT4-1126-SM-4B66E	6.661	Heart
GTEX-U3ZH-0002-SM-3NMDD	GTEX-U3ZH-0002-SM-3NMDD	6.659	Blood
GTEX-11OF3-2526-SM-5P9JL	GTEX-11OF3-2526-SM-5P9JL	6.656	Muscle
GTEX-PSDG-0008-SM-48TE5	GTEX-PSDG-0008-SM-48TE5	6.649	Skin
GTEX-ZYFD-0326-SM-5NQ8I	GTEX-ZYFD-0326-SM-5NQ8I	6.649	Muscle
K-562-SM-5K7TT	K-562-SM-5K7TT	6.648	Bone Marrow
GTEX-RNOR-0826-SM-2TF5C	GTEX-RNOR-0826-SM-2TF5C	6.641	Heart
GTEX-13FLV-0926-SM-5L3DZ	GTEX-13FLV-0926-SM-5L3DZ	6.638	Heart
K-562-SM-4WWAK	K-562-SM-4WWAK	6.632	Bone Marrow
GTEX-U8XE-1126-SM-3DB8W	GTEX-U8XE-1126-SM-3DB8W	6.632	Heart
GTEX-13G51-2726-SM-5LZZ9	GTEX-13G51-2726-SM-5LZZ9	6.631	Muscle
GTEX-WH7G-0002-SM-4LVN9	GTEX-WH7G-0002-SM-4LVN9	6.629	Blood
